"","country","agegrp","st","year","N_cases","pct","total_cases"
"159","Austria",5,"15C",2014,1.15068492,0.00684931500890411,167.9999997816
"160","Austria",5,"15C",2015,3.4142856938,0.0142857142271429,238.9999995459
"161","Austria",5,"15C",2016,2.213953469,0.00930232552046512,237.9999994764
"162","Austria",5,"15C",2017,1.0788530193,0.00358422930824373,300.9999993077
"163","Austria",5,"15C",2018,3.2499999792,0.00925925921388889,350.9999994735
"164","Austria",5,"15C",2019,3.2831858325,0.00884955751061947,370.9999995548
"165","Austria",5,"15F",2010,1.1014492736,0.00724637680797101,151.9999998328
"166","Austria",5,"15F",2012,0,0,127.9999998976
"167","Austria",5,"15F",2013,0,0,182.9999997072
"168","Austria",5,"15F",2014,0,0,167.9999997816
"169","Austria",5,"15F",2015,0,0,238.9999995459
"170","Austria",5,"15F",2016,0,0,237.9999994764
"171","Austria",5,"15F",2017,0,0,300.9999993077
"172","Austria",5,"16",2010,0,0,151.9999998328
"173","Austria",5,"16",2012,0,0,127.9999998976
"174","Austria",5,"16",2013,0,0,182.9999997072
"175","Austria",5,"16",2014,0,0,167.9999997816
"176","Austria",5,"16",2015,0,0,238.9999995459
"177","Austria",5,"16",2016,0,0,237.9999994764
"178","Austria",5,"16",2017,0,0,300.9999993077
"179","Austria",5,"16",2018,0,0,350.9999994735
"180","Austria",5,"16",2019,0,0,370.9999995548
"181","Austria",5,"16A",2013,0,0,182.9999997072
"182","Austria",5,"16A",2014,0,0,167.9999997816
"183","Austria",5,"16A",2015,0,0,238.9999995459
"184","Austria",5,"16A",2017,0,0,300.9999993077
"185","Austria",5,"16A",2018,0,0,350.9999994735
"186","Austria",5,"16A",2019,0,0,370.9999995548
"187","Austria",5,"16F",2010,0,0,151.9999998328
"188","Austria",5,"16F",2012,0,0,127.9999998976
"189","Austria",5,"16F",2013,2.2732919166,0.0124223602198758,182.9999997072
"190","Austria",5,"16F",2014,2.3013698568,0.0136986301178082,167.9999997816
"191","Austria",5,"16F",2015,2.2761904705,0.00952380951809524,238.9999995459
"192","Austria",5,"16F",2016,2.213953469,0.00930232552046512,237.9999994764
"193","Austria",5,"16F",2017,2.1577060687,0.00716845871648746,300.9999993077
"194","Austria",5,"16F",2018,3.2499999792,0.00925925921388889,350.9999994735
"195","Austria",5,"16F",2019,3.2831858325,0.00884955751061947,370.9999995548
